X(mm),Y(mm),Z(mm)
85.814,267.034,235.3
85.596,242.035,235.3
95.814,266.947,235.3
95.705,254.447,235.3
95.595,241.948,235.3
105.813,266.859,235.3
105.704,254.36,235.3
105.595,241.86,235.3
105.543,235.861,235.3
115.813,266.772,235.3
115.704,254.273,235.3
115.595,241.773,235.3
125.813,266.685,235.3
125.703,254.185,235.3
125.594,241.686,235.3
135.812,266.598,235.3
135.594,241.599,235.3
135.542,235.599,235.3
145.594,241.511,235.3
155.811,266.423,235.3
155.702,253.924,235.3
155.593,241.424,235.3
165.811,266.336,235.3
165.702,253.836,235.3
165.593,241.337,235.3
165.54,235.337,235.3
175.811,266.249,235.3
175.702,253.749,235.3
175.592,241.25,235.3
185.701,253.662,235.3
185.592,241.162,235.3
195.81,266.074,235.3
195.701,253.575,235.3
195.592,241.075,235.3
195.539,235.075,235.3
205.809,265.987,235.3
205.7,253.487,235.3
205.591,240.988,235.3
215.809,265.9,235.3
215.7,253.4,235.3
215.591,240.9,235.3
225.809,265.812,235.3
225.7,253.313,235.3
225.591,240.813,235.3
225.538,234.813,235.3
235.808,265.725,235.3
235.699,253.225,235.3
235.59,240.726,235.3
245.808,265.638,235.3
245.59,240.639,235.3
255.808,265.55,235.3
255.698,253.051,235.3
255.589,240.551,235.3
255.537,234.552,235.3
265.807,265.463,235.3
265.698,252.964,235.3
265.589,240.464,235.3
275.807,265.376,235.3
275.698,252.876,235.3
275.589,240.377,235.3
285.588,240.29,235.3
285.536,234.29,235.3
295.806,265.201,235.3
295.697,252.702,235.3
295.588,240.202,235.3
305.587,240.115,235.3
315.805,265.027,235.3
315.696,252.527,235.3
315.587,240.028,235.3
315.535,234.028,235.3
325.587,239.941,235.3
335.805,264.852,235.3
335.695,252.353,235.3
335.586,239.853,235.3
345.695,252.266,235.3
345.586,239.766,235.3
345.534,233.766,235.3
