X(mm),Y(mm),Z(mm),Active
196.207,87.882,219.9,1
190.207,87.84,219.9,1
177.708,87.753,219.9,1
165.208,87.666,219.9,0
196.137,97.882,219.9,0
190.137,97.84,219.9,1
177.638,97.753,219.9,1
165.138,97.666,219.9,1
196.067,107.882,219.9,0
190.068,107.84,219.9,1
177.568,107.753,219.9,0
165.068,107.665,219.9,0
195.998,117.882,219.9,1
189.998,117.84,219.9,1
177.498,117.752,219.9,1
164.998,117.665,219.9,1
195.928,127.881,219.9,0
189.928,127.839,219.9,1
177.428,127.752,219.9,0
164.929,127.665,219.9,0
195.858,137.881,219.9,0
189.858,137.839,219.9,1
177.359,137.752,219.9,1
164.859,137.665,219.9,1
195.788,147.881,219.9,1
189.788,147.839,219.9,1
177.289,147.752,219.9,0
164.789,147.664,219.9,0
195.718,157.881,219.9,0
189.719,157.839,219.9,1
177.219,157.751,219.9,1
164.719,157.664,219.9,1
195.649,167.88,219.9,0
189.649,167.838,219.9,1
177.149,167.751,219.9,1
164.649,167.664,219.9,1
195.579,177.88,219.9,1
189.579,177.838,219.9,1
177.079,177.751,219.9,1
164.58,177.664,219.9,1
195.509,187.88,219.9,0
189.509,187.838,219.9,1
177.009,187.751,219.9,0
164.51,187.663,219.9,1
195.439,197.88,219.9,0
189.439,197.838,219.9,1
176.94,197.75,219.9,1
164.44,197.663,219.9,1
195.369,207.879,219.9,1
189.37,207.838,219.9,1
176.87,207.75,219.9,1
164.37,207.663,219.9,1
195.3,217.879,219.9,0
189.3,217.837,219.9,1
176.8,217.75,219.9,1
164.3,217.663,219.9,1
195.23,227.879,219.9,0
189.23,227.837,219.9,1
176.73,227.75,219.9,1
164.23,227.662,219.9,1
195.16,237.879,219.9,1
189.16,237.837,219.9,1
176.66,237.75,219.9,1
164.161,237.662,219.9,1
195.09,247.878,219.9,0
189.09,247.837,219.9,1
176.591,247.749,219.9,1
164.091,247.662,219.9,0
195.02,257.878,219.9,0
189.02,257.836,219.9,1
176.521,257.749,219.9,1
164.021,257.662,219.9,1
194.95,267.878,219.9,1
188.951,267.836,219.9,1
176.451,267.749,219.9,1
163.951,267.662,219.9,1
194.881,277.878,219.9,0
188.881,277.836,219.9,1
176.381,277.749,219.9,1
163.881,277.661,219.9,1
194.811,287.877,219.9,0
188.811,287.836,219.9,1
176.311,287.748,219.9,0
163.812,287.661,219.9,0
194.741,297.877,219.9,1
188.741,297.835,219.9,1
176.241,297.748,219.9,0
163.742,297.661,219.9,1
194.671,307.877,219.9,0
188.671,307.835,219.9,1
176.172,307.748,219.9,1
163.672,307.661,219.9,1
194.601,317.877,219.9,0
188.602,317.835,219.9,1
176.102,317.748,219.9,1
163.602,317.66,219.9,1
194.532,327.876,219.9,1
188.532,327.835,219.9,1
176.032,327.747,219.9,1
163.532,327.66,219.9,1
194.462,337.876,219.9,0
188.462,337.834,219.9,1
175.962,337.747,219.9,1
163.463,337.66,219.9,1
194.392,347.876,219.9,0
188.392,347.834,219.9,1
175.892,347.747,219.9,0
163.393,347.66,219.9,1
